DOI,venue,year,title,subtitle,abstract,authors,keywords,page_from,page_to
10.1145/2661334.2661371,ASSETS,2014,Buildings and users with visual impairment,uncovering factors for accessibility using BIT-Kit,"In this paper, we report on the experiences of visually impaired users in navigating buildings. We focus on an investigation of the way-finding experiences by 10 participants with varying levels of visual ability, as they undertook a way-finding task in an unfamiliar public building. Through applying the BIT-Kit framework in this preliminary user study, we were able to uncover 54 enabling and disabling interactions within the case study building. While this building adhered to building legislation, our findings identified a number of accessibility problems including, issues associated with using doors, hazards caused by building finishes, and difficulty in knowing what to do in the case of an emergency evacuation. This user study has demonstrated a disparity between design guidance and the accessibility needs of building users. It has uncovered evidence to enable architects to begin to design for the real needs of users who have a range of visual impairment. Furthermore, it has instigated discussion of how BIT-Kit's evidence could be incorporated into digital modelling tools currently used in architectural practice.","Lesley McIntyre, Vicki Hanson","accessibility, architecture, buildings, methods, visual impairment, way-finding",59,66
10.1145/3308561.3353808,ASSETS,2019,X-Ray,Screenshot Accessibility via Embedded Metadata,"Screenshots are frequently shared on social media, via personal communications, and in academic papers. Unfortunately, existing screenshot tools strip away semantics useful for making the content accessible, leaving only pixels. For example, a screenshot of a table removes the structural information useful for conveying it. We quantify the scale of the problem via a study of academic papers, showing that a large number of images included in academic papers are screenshots, and validate this via qualitative interviews with researchers about their figure generation process. We then introduce X-Ray, a system that captures and embeds the semantics of the underlying content into images. Using the X-Ray screenshot tool, semantic information is captured and stored in the Exif data of the resulting image, allowing it to ""tag along"" as the image is shared and reposted. We demonstrate that our approach retains accessibility for screen reader users via a study with five blind participants. More generally, our approach suggests a method for embedding accessibility metadata into otherwise inaccessible formats, enabling them to retain the more accessible representations that are present at capture time.","Sujeath Pareddy, Anhong Guo, Jeffrey Bigham","accessibility, alt text, large-scale analysis, pdf, runtime modification, screen readers, screenshot, vision impairment",389,395
10.1145/2384916.2384935,ASSETS,2012,Learning non-visual graphical information using a touch-based vibro-audio interface, ,"This paper evaluates an inexpensive and intuitive approach for providing non-visual access to graphic material, called a vibro-audio interface. The system works by allowing users to freely explore graphical information on the touchscreen of a commercially available tablet and synchronously triggering vibration patterns and auditory information whenever an on-screen visual element is touched. Three studies were conducted that assessed legibility and comprehension of the relative relations and global structure of a bar graph (Exp 1), Pattern recognition via a letter identification task (Exp 2), and orientation discrimination of geometric shapes (Exp 3). Performance with the touch-based device was compared to the same tasks performed using standard hardcopy tactile graphics. Results showed similar error performance between modes for all measures, indicating that the vibro-audio interface is a viable multimodal solution for providing access to dynamic visual information and supporting accurate spatial learning and the development of mental representations of graphical material.","Nicholas Giudice, Hari Prasath Palani, Eric Brenner, Kevin Kramer","accessibility (blind and visually-impaired), android programming, assistive technology, audio cues, graphs and diagrams, haptic cues, information graphics",103,110
10.1145/2661334.2661379,ASSETS,2014,Usability issues with 3D user interfaces for adolescents with high functioning autism, ,"Most literature on the usability of 3D user interfaces (3DUI) in ASD therapy consists of a series of case studies based on games for rehabilitation. These games have been largely successful. However, it is difficult to generalize the results of these specific case studies. The usability of atomic 3DUI interactions (e.g., rotation, translation) with respect to adolescents with ASD has not yet been evaluated. Adolescents with ASD often have enhanced spatial cognitive abilities and less efficient hand-eye coordination. Our main research question is ""Do adolescents with ASD perform 3DUI tasks differently than typically developed adolescents and if so, why?"" To address this question, we present a matched pair user study including adolescents without ASD (i.e. as controls) paired with adolescents who had a high ASD severity score, but were still considered high functioning. Our results give insight into the usability of 3DUI for adolescents with ASD and provide generalizable guidelines for future 3DUI applications for children with autism.","Chao Mei, Lee Mason, John Quarles","3d user interfaces, autism spectrum disorder, user studies.",99,106
10.1145/2700648.2809859,ASSETS,2015,Comparing Methods of Displaying Language Feedback for Student Videos of American Sign Language, ,"Deaf children benefit from early exposure to language, and higher levels of written language literacy have been measured in deaf adults who were raised in homes using American Sign Language (ASL). Prior work has established that new parents of deaf children benefit from technologies to support learning ASL. As part of a project to design a tool to automatically analyze a video of a students' signing and provide immediate feedback about fluent and non-fluent aspects of their movements, we conducted a study to compare multiple methods of conveying feedback to ASL students, using videos of their signing. Through a Wizard-of-Oz study, we compared three types of feedback in regard to users' subjective judgments of system quality and the degree students' signing improved (as judged by an ASL instructor who analyzed recordings of students' signing before and after they viewed each type of feedback). We found that displaying videos to students of their signing, augmented with feedback messages about their errors or correct ASL usage, yielded higher subjective scores and greater signing improvement. Students gave higher subjective scores to a version in which pop-up messages appeared overlaid on the student's video to indicate errors or correct ASL usage.","Matt Huenerfauth, Elaine Gale, Brian Penly, Mackenzie Willard, Dhananjai Hariharan","american sign language, education, feedback, user study",139,146
10.1145/2513383.2513438,ASSETS,2013,Do you see what I see?,designing a sensory substitution device to access non-verbal modes of communication,"The inability to access non-verbal cues is a setback for people who are blind or visually impaired. A visual-to-auditory Sensory Substitution Device (SSD) may help improve the quality of their lives by transforming visual cues into auditory cues. In this paper, we describe the design and development of a robust and real-time SSD called <i>i</i>FEPS -- improved Facial Expression Perception through Sound. The implementation of the <i>i</i>FEPS evolved over time through a participatory design process. We conducted both subjective and objective experiments to quantify the usability of the system. Evaluation with 14 subjects (7 blind + 7 blind-folded) shows that the users were able to perceive the facial expressions in most of the time. In addition, the overall subjective usability of the system was found to be scoring 4.02 in a 5 point Likert scale.","M. Tanveer, A. Anam, Mohammed Yeasin, Majid Khan","blind, facial expression, participatory design, sensory substitution",1,8
10.1145/3308561.3353782,ASSETS,2019,shapeCAD&#58; An Accessible 3D Modelling Workflow for the Blind and Visually-Impaired Via 2.5D Shape Displays, ,"Affordable rapid 3D printing technologies have become key enablers of the Maker Movement by giving individuals the ability to create physical finished products. However, existing computer-aided design (CAD) tools that allow authoring and editing of 3D models are mostly visually reliant and limit access to people with blindness and visual impairment (BVI). Through a series of co-design sessions with three blind users of mixed programming ability, we identify accessibility challenges in existing 3D modelling scripting tools and design interactions to support dynamic feedback of scripts using a 2.5D tactile shape display. With these insights, we implement shapeCAD. Interacting with shapeCAD, BVI users are able to leverage the low resolution output from a 2.5D shape display to complement programming of 3D models. shapeCAD allows users to haptically explore and modify existing models, and to author new models. We further validate usability and user experience through an evaluation with five BVI programmers. In a short period of time, novices were able to design a range of new objects. BVI users can bring a valuable perspective to design and it is imperative to increase accessibility in tools that enable this community to also participate as designers.","Alexa Siu, Son Kim, Joshua Miele, Sean Follmer","2.5d shape displays, accessible 3d printing, accessible authoring tools, haptics, tactile displays, tactile graphics",342,354
10.1145/2384916.2384943,ASSETS,2012,Designing for individuals,usable touch-screen interaction through shared user models,"Mobile touch-screen devices are becoming increasingly popular across a diverse range of users. Whilst there is a wealth of information and utilities available via downloadable apps, there is still a large proportion of users with visual and motor impairments who are unable to use the technology fully due to their interaction needs. In this paper we present an evaluation of the use of shared user modelling and adaptive interfaces to improve the accessibility of mobile touch-screen technologies. By using abilities based information collected through application use and continually updating the user model and interface adaptations, it is easy for users to make applications aware of their needs and preferences. Three smart phone apps were created for this study and tested with 12 adults who had diverse visual and motor impairments. Results indicated significant benefits from the shared user models that can automatically adapt interfaces, across applications, to address usability needs.","Kyle Montague, Vicki Hanson, Andy Cobley","adaptive interfaces, mobile touch screens, shared user modelling",151,158
10.1145/1878803.1878811,ASSETS,2010,Towards a tool for keystroke level modeling of skilled screen reading, ,"Designers often have no access to individuals who use screen reading software, and may have little understanding of how their design choices impact these users. We explore here whether cog-nitive models of auditory interaction could provide insight into screen reader usability. By comparing human data with a tool-generated model of a practiced task performed using a screen reader, we identify several requirements for such models and tools. Most important is the need to represent parallel execution of hearing with thinking and acting. Rules for placement of cogni-tive operators that were developed for visual user interfaces may not be applicable in the auditory domain. Other mismatches be-tween the data and the model were attributed to the extremely fast listening rate and differences between the typing patterns of screen reader usage and the model's assumptions. This work in-forms the development of more accurate models of auditory inter-action. Tools incorporating such models could help designers create user interfaces that are well tuned for screen reader users, without the need for modeling expertise.","Shari Trewin, Bonnie John, John Richards, Cal Swart, Jonathan Brezin, Rachel Bellamy, John Thomas","accessibility, keyboard navigation, klm, screen reader, usability",27,34
10.1145/2384916.2384919,ASSETS,2012,Capture,a desktop display-centric text recorder,"As more and more information is designed for human visual consumption through computer displays, the need to capture and process display-centric content is becoming increasingly important, especially for visually impaired users. We present <i>Capture</i>, a novel display-centric text recorder that facilitates real-time access to onscreen text and its structure and contextual information, including data associated with both foreground and background windows. <i>Capture</i> provides an intelligent caching architecture that integrates with the standard accessibility framework available on modern operating systems to continuously track onscreen text and metadata. This enables fast, semantic information recording without any modifications to applications, window systems, or operating system kernels. The recorded data is useful for a variety of problem domains, including assistive technologies, desktop search, auditing, and predictive graphical user interfaces. We have implemented a <i>Capture</i> prototype on Linux with the GNOME Accessibility Toolkit. Our results on real desktop applications demonstrate that <i>Capture</i> provides low runtime overhead and much more complete recording of onscreen text than modern desktop screen readers used for visually impaired users.","Oren Laadan, Andrew Shu, Jason Nieh","accessibility, assistive technology, screen capture",9,16
10.1145/2700648.2809849,ASSETS,2015,User Participation When Users have Mental and Cognitive Disabilities, ,"Persons with cognitive or mental disabilities have difficulties participating in or are excluded from IT development and assessments exercises due to the problems finding good ways to efficiently collaborate on equal terms. In this paper we describe how we worked closely together with persons that have mental and cognitive disabilities in order to test and develop methods for participation in assessments and in processes for developing, Information and Communication Technology (ICT) products and services. More than 100 persons with mental and cognitive disabilities participated in the study (people with diagnoses such as depression, anxiety disorder, bipolarity, and schizophrenia). To explore the conditions for a more equal and fair participation we have developed and elaborated a set of methods, tools and approaches. By combining scientific research methods with well-established methods for empowerment and participation we have developed methods that are cost effective and that easily can be incorporated in existing processes. We believe that our approach have taken steps to implement possibilities for persons with mental and cognitive disabilities to take part where user participation is needed in order not to discriminate or exclude but also to improve the overall quality of the end result. The results clearly show that it is possible to include persons with mental and cognitive disabilities. A mixed method -- mixed tool approach can increase the possibility for participation. The results also show that the quality of the analysis phase increases if the collaborative approach is extended to also embrace the data analysis phase.","Stefan Johansson, Jan Gulliksen, Ann Lantz","accessibility, cognitive disability, inclusion, mental disability, mental problems, user participation",69,76
10.1145/2700648.2809862,ASSETS,2015,ChartMaster,A Tool for Interacting with Stock Market Charts using a Screen Reader,"Stock market charts guide investors in making financial decisions. Online stock market charts are largely interactive, driven by real-time financial data. However, these are not easily accessible via a screen reader. To enable screen reader users to query and effectively use interactive online stock market charts, we are developing a tool called ChartMaster. In this paper, we describe an early study conducted with sixteen visually impaired persons, most of whom were financial novices, for co-designing the interaction interface for C hartMaster. An inclusive design exercise was undertaken to discover alternative interfaces using non-visual modalities to interact with stock market charts. A user-centered process of co-design using HCI methods was carried out to iteratively evaluate and refine three input solutions: audio input, text input and dropdown menu. While the users ultimately declared the dropdown menu to be the most useful of the three solutions, they wanted all possible options to choose from based on task contexts and personal preferences. User feedback confirmed that a one-size-fits-all design is not ideal for accommodating diverse user needs within the widest possible range of contexts. It was also found that the ChartMaster tool with dropdown menu interface holds potential educational value for financial novices.","Hong Zou, Jutta Treviranus","accessibility, financial literacy, inclusive design, multi-modal, non-visual, screen reader, stock market charts, usability, visual impairment",107,116
10.1145/3234695.3239330,ASSETS,2018,"What My Eyes Can't See, A Robot Can Show Me",Exploring the Collaboration Between Blind People and Robots,"Blind people rely on sighted peers and different assistive technologies to accomplish everyday tasks. In this paper, we explore how assistive robots can go beyond information-giving assistive technologies (e.g., screen readers) by physically collaborating with blind people. We first conducted a set of focus groups to assess how blind people perceive and envision robots. Results showed that, albeit having stereotypical concerns, participants conceive the integration of assistive robots in a broad range of everyday life scenarios and are welcoming of this type of technology. In a second study, we asked blind participants to collaborate with two versions of a robot in a Tangram assembly task: one robot would only provide static verbal instructions whereas the other would physically collaborate with participants and adjust the feedback to their performance. Results showed that active collaboration had a major influence on the successful performance of the task. Participants also reported higher perceived warmth, competence and usefulness when interacting with the physically assistive robot. Overall, we provide preliminary results on the usefulness of assistive robots and the possible role these can hold in fostering a higher degree of autonomy for blind people.","Mayara Bonani, Raquel Oliveira, Filipa Correia, Andr&#233; Rodrigues, Tiago Guerreiro, Ana Paiva","blind people, collaboration, human-robot interaction",15,27
10.1145/3132525.3132530,ASSETS,2017,Imagining Artificial Intelligence Applications with People with Visual Disabilities using Tactile Ideation, ,"There has been a surge in artificial intelligence (AI) technologies co-opted by or designed for people with visual disabilities. Researchers and engineers have pushed technical boundaries in areas such as computer vision, natural language processing, location inference, and wearable computing. But what do people with visual disabilities imagine as their own technological future? To explore this question, we developed and carried out tactile ideation workshops with participants in the UK and India. Our participants generated a large and diverse set of ideas, most focusing on ways to meet needs related to social interaction. In some cases, this was a matter of recognizing people. In other cases, they wanted to be able to participate in social situations without foregrounding their disability. It was striking that this finding was consistent across UK and India despite substantial cultural and infrastructural differences. In this paper, we describe a new technique for working with people with visual disabilities to imagine new technologies that are tuned to their needs and aspirations. Based on our experience with these workshops, we provide a set of social dimensions to consider in the design of new AI technologies: social participation, social navigation, social maintenance, and social independence. We offer these social dimensions as a starting point to forefront users' social needs and desires as a more deliberate consideration for assistive technology design.","Cecily Morrison, Edward Cutrell, Anupama Dhareshwar, Kevin Doherty, Anja Thieme, Alex Taylor","accessibility, ai, artificial intelligence, blind, design, ideation, multicultural, visually impaired",81,90
10.1145/3234695.3239329,ASSETS,2018,"'Wow! You're Wearing a Fitbit, You're a Young Boy Now!""",Socio-Technical Aspirations for Children with Autism in India,"In this paper, we build a case for incorporating socio-technical aspirations of different stakeholders, e.g. parents, care-givers, and therapists, to motivate technology acceptance and adoption for children with autism. We base this on findings from two studies at a special school in New Delhi. First, with six children with autism, their parents and therapists we explored whether fitness bands motivate children with autism in India to increase their physical activity. Second, with five parents and specialists at the same school, we conducted interviews to understand their expectations from and current usage of technology. Previous work defines a culture-based framework for assistive technology design with three dimensions: lifestyle, socio-technical infrastructure, and monetary and informational resources. To this framework we propose a fourth dimension of socio-technical aspirations. We discuss the implications of the proposed fourth dimension to the existing framework.","Sumita Sharma, Krishnaveni Achary, Harmeet Kaur, Juhani Linna, Markku Turunen, Blessin Varkey, Jaakko Hakulinen, Sanidhya Daeeyya","autism in india, children with autism, socio-technical aspirations, technology acceptance and adoption",174,184
10.1145/1878803.1878809,ASSETS,2010,Towards accessible touch interfaces, ,"Touch screen mobile devices bear the promise of endless leisure, communication, and productivity opportunities to motor-impaired people. Indeed, users with residual capacities in their upper extremities could benefit immensely from a device with no demands regarding strength. However, the precision required to effectively select a target without physical cues creates problems to people with limited motor abilities. Our goal is to thoroughly study mobile touch screen interfaces, their characteristics and parameterizations, thus providing the tools for informed interface design for motor-impaired users. We present an evaluation performed with 15 tetraplegic people that allowed us to understand the factors limiting user performance within a comprehensive set of interaction techniques (<i>Tapping, Crossing, Exiting and Directional Gesturing</i>) and parameterizations (<i>Position, Size and Direction</i>). Our results show that for each technique, accuracy and precision vary across different areas of the screen and directions, in a way that is directly dependent on target size. Overall, <i>Tapping</i> was both the preferred technique and among the most effective. This proves that it is possible to design inclusive unified interfaces for motor-impaired and able-bodied users once the correct parameterization or adaptability is assured.","Tiago Guerreiro, Hugo Nicolau, Joaquim Jorge, Daniel Gon&#231;alves","evaluation, interaction techniques, mobile device, tetraplegic, touch screen",19,26
10.1145/2384916.2384932,ASSETS,2012,How do professionals who create computing technologies consider accessibility?, ,"In this paper, we present survey findings about how user experience (UX) and human-computer interaction (HCI) professionals, who create information and communication technologies (ICTs), reported considering accessibility in their work. Participants (N = 199) represented a wide range of job titles and nationalities. We found that most respondents (87%, N = 173) reported that accessibility was important or very important in their work; however, when considerations for accessibility were discussed in an open-ended question (N =185) the scope was limited. Additionally, we found that aspects of empathy and professional experience were associated with how accessibility considerations were reported. We also found that many respondents indicated that decisions about accessibility were not in their control. We argue that a better understanding about how accessibility is considered by professionals has implications for academic programs in HCI and UX as to how well programs are preparing students to consider and advocate for inclusive design.","Cynthia Putnam, Kathryn Wozniak, Mary Jo Zefeldt, Jinghui Cheng, Morgan Caputo, Carl Duffield","accessibility, diverse users, inclusive design, professions",87,94
10.1145/3308561.3353798,ASSETS,2019,Deep Learning for Automatically Detecting Sidewalk Accessibility Problems Using Streetscape Imagery, ,"Recent work has applied machine learning methods to automatically find and/or assess pedestrian infrastructure in online map imagery (e.g., satellite photos, streetscape panoramas). While promising, these methods have been limited by two interrelated issues: small training sets and the choice of machine learning model. In this paper, aided by the recently released Project Sidewalk dataset of 300,000+ image-based sidewalk accessibility labels, we present the first examination of deep learning to automatically assess sidewalks in Google Street View (GSV) panoramas. Specifically, we investigate two application areas: automatically validating crowdsourced labels and automatically labeling sidewalk accessibility issues. For both tasks, we introduce and use a residual neural network (ResNet) modified to support both image and non-image (contextual) features (e.g., geography). We present an analysis of performance, the effect of our non-image features and training set size, and cross-city generalizability. Our results significantly improve on prior automated methods and, in some cases, meet or exceed human labeling performance.","Galen Weld, Esther Jang, Anthony Li, Aileen Zeng, Kurtis Heimerl, Jon Froehlich","accessibility, computer vision, neural networks, sidewalks",196,209
10.1145/3234695.3236339,ASSETS,2018,Investigating Cursor-based Interactions to Support Non-Visual Exploration in the Real World, ,"The human visual system processes complex scenes to focus attention on relevant items. However, blind people cannot visually skim for an area of interest. Instead, they use a combination of contextual information, knowledge of the spatial layout of their environment, and interactive scanning to find and attend to specific items. In this paper, we define and compare three cursor-based interactions to help blind people attend to items in a complex visual scene: window cursor (move their phone to scan), finger cursor (point their finger to read), and touch cursor (drag their finger on the touchscreen to explore). We conducted a user study with 12 participants to evaluate the three techniques on four tasks, and found that: window cursor worked well for locating objects on large surfaces, finger cursor worked well for accessing control panels, and touch cursor worked well for helping users understand spatial layouts. A combination of multiple techniques will likely be best for supporting a variety of everyday tasks for blind users.","Anhong Guo, Saige McVea, Xu Wang, Patrick Clary, Ken Goldman, Yang Li, Yu Zhong, Jeffrey Bigham","accessibility, blind, computer vision, cursor, interaction, mobile devices, non-visual exploration, visually impaired",3,14
10.1145/2700648.2809840,ASSETS,2015,Faster Text-to-Speeches,Enhancing Blind People's Information Scanning with Faster Concurrent Speech,"Blind people rely mostly on the auditory feedback of screen readers to consume digital information. Still, how fast can information be processed remains a major problem. The use of faster speech rates is one of the main techniques to speed-up the consumption of digital information. Moreover, recent experiments have suggested the use of concurrent speech as a valid alternative when scanning for relevant information. In this paper, we present an experiment with 30 visually impaired participants, where we compare the use of faster speech rates against the use of concurrent speech. Moreover, we combine these two approaches by gradually increasing the speech rate with one, two and three voices. Results show that concurrent voices with speech rates slightly faster than the default rate, enable a significantly faster scanning for relevant content, while maintaining its comprehension. In contrast, to keep-up with concurrent speech timings, <i>One-Voice</i> requires larger speech rate increments, which cause a considerable loss in performance. Overall, results suggest that the best compromise between efficiency and the ability to understand each sentence is the use of <i>Two-Voices</i> with a rate of 1.75*<i>default-rate</i> (approximately 278 WPM).","Jo&#227;o Guerreiro, Daniel Gon&#231;alves","auditory perception, blind, cocktail party effect, concurrent speech, scanning, screen reader, skimming, speech rate, text-to-speech, visually impaired",3,11
10.1145/3308561.3353785,ASSETS,2019,Understanding Mental Ill-health as Psychosocial Disability,Implications for Assistive Technology,"Psychosocial disability involves actual or perceived impairment due to a diversity of mental, emotional, or cognitive experiences. While assistive technology for psychosocial disabilities has been understudied in communities such as ASSETS, advances in computing have opened up a number of new avenues for assisting those with psychosocial disabilities beyond the clinic. However, these tools continue to emerge primarily within the framework of ""treatment,"" emphasizing resolution or improvement of mental health symptoms. This work considers what it means to adopt a social model lens from disability studies and incorporate the expertise of assistive technology researchers in relation to mental health. Our investigation draws on interviews conducted with 18 individuals who have complex health needs that include mental health symptoms. This work highlights the potential role for assistive technology in supporting psychosocial disability outside of a clinical or medical framework.","Kathryn Ringland, Jennifer Nicholas, Rachel Kornfield, Emily Lattie, David Mohr, Madhu Reddy","anxiety, depression, mental health, psychosocial disability, social model of disability",156,170
10.1145/2700648.2809853,ASSETS,2015,Using In-Situ Projection to Support Cognitively Impaired Workers at the Workplace, ,"Today's working society tries to integrate more and more impaired workers into everyday working processes. One major scenario for integrating impaired workers is in the assembly of products. However, the tasks that are being assigned to cognitively impaired workers are easy tasks that consist of only a small number of assembly steps. For tasks with a higher number of steps, cognitively impaired workers need instructions to help them with assembly. Although supervisors provide general support and assist new workers while learning new assembly steps, sheltered work organizations often provide additional printed pictorial instructions that actively guide the workers. To further improve continuous instructions, we built a system that uses in-situ projection and a depth camera to provide context-sensitive instructions. To explore the effects of in-situ instructions, we compared them to state-of-the-art pictorial instructions in a user study with 15 cognitively impaired workers at a sheltered work organization. The results show that using in-situ instructions, cognitively impaired workers can assemble more complex products up to 3 times faster and with up to 50% less errors. Further, the workers liked the in-situ instructions provided by our assistive system and would use it for everyday assembly.","Markus Funk, Sven Mayer, Albrecht Schmidt","assistance for impaired workers, assistive system, augmented reality, in-situ projection",185,192
10.1145/2982142.2982179,ASSETS,2016,WeAllWalk,An Annotated Data Set of Inertial Sensor Time Series from Blind Walkers,"We introduce WeAllWalk, a data set of inertial sensor time series collected from blind walkers using a long cane or a guide dog. Blind participants walked through fairly long and complex indoor routes that included obstacles to be avoided and doors to be opened. Inertial data was recorded by two iPhone 6s carried by our participants in their pockets and carefully annotated. Ground truth heel strike times were measured by two small inertial sensor units clipped to the participants' shoes. We also show comparative examples of application of step counting and turn detection algorithms to selected data from WeAllWalk.","German Flores, Roberto Manduchi","inertial sensing, step counting., wayfinding",141,150
10.1145/3132525.3132527,ASSETS,2017,Using Participatory Design with Proxies with Children with Limited Communication, ,"Including children with communication disorders in the participatory design and evaluation of digital technologies is challenging, as communication between designers and users - an important part of this approach - can be impacted. Using Participatory Design with Proxies (PDwP) supports the inclusion of input from different stakeholders, such as parents, teachers and Speech-Language Pathologists (SLPs), who can provide valuable insight and feedback to augment direct input from users, which may be severely limited. We describe how we used PDwP to design a digital living media system that motivates children with disabilities to use digital therapeutic and learning applications and supports communication and collaboration between users. We employed an iterative design process to fabricate three functional prototypes and used them as design probes in participants' home and school settings. We present lessons learned in the form of the strengths and shortcomings of using PDwP for designing systems for children with limited communication abilities.","Foad Hamidi, Melanie Baljko, Isabel G&#243;mez","children with disabilities, digital living media systems, participatory design with proxies",250,259
10.1145/3234695.3236351,ASSETS,2018,HoloLearn,Wearable Mixed Reality for People with Neurodevelopmental Disorders (NDD),"Our research explores the potential of wearable Mixed Reality (MR) for people with Neuro-Developmental Disorders (NDD). The paper presents HoloLearn, a MR application designed in cooperation with NDD experts and implemented using HoloLens technology. The goal of HoloLearn is to help people with NDD learn how to perform simple everyday tasks in domestic environments and improve autonomy. An original feature of the system is the presence of a virtual assistant devoted to capture the user's attention and to give her/him hints during task execution in the MR environment. We performed an exploratory study involving 20 subjects with NDD to investigate the acceptability and usability of HoloLearn and its potential as a therapeutic tool. HoloLearn was well-accepted by the participants and the activities in the MR space were perceived as enjoyable, despite some usability problems associated to HoloLens interaction mechanism. More extensive and long term empirical research is needed to validate these early results, but our study suggests that HoloLearn could be adopted as a complement to more traditional interventions. Our work, and the lessons we learned, may help designers and developers of future MR applications devoted to people with NDD and to other people with similar needs.","Beatrice Aruanno, Franca Garzotto, Emanuele Torelli, Francesco Vona","augmented reality, holograms, hololens, mixed reality, neuro-developmental disorders, virtual assistant",40,51
10.1145/2982142.2982164,ASSETS,2016,Improving Real-Time Captioning Experiences for Deaf and Hard of Hearing Students, ,"We take a qualitative approach to understanding deaf and hard of hearing (DHH) students' experiences with real-time captioning as an access technology in mainstream university classrooms. We consider both existing human-based captioning as well as new machine-based solutions that use automatic speech recognition (ASR). We employed a variety of qualitative research methods to gather data about students' captioning experiences including in-class observations, interviews, diary studies, and usability evaluations. We also conducted a co-design workshop with 8 stakeholders after our initial research findings. Our results show that accuracy and reliability of the technology are still the most important issues across captioning solutions. However, we additionally found that current captioning solutions tend to limit students' autonomy in the classroom and present a variety of user experience shortcomings, such as complex setups, poor feedback and limited control over caption presentation. Based on these findings, we propose design requirements and recommend features for real-time captioning in mainstream classrooms.","Saba Kawas, George Karalis, Tzu Wen, Richard Ladner","access technology, automatic speech recognition, co-design, deaf and hard of hearing, human factors., inclusive classrooms, real-time captions",15,23
10.1145/3132525.3132528,ASSETS,2017,BrailleSketch,A Gesture-based Text Input Method for People with Visual Impairments,"In this paper, we present BrailleSketch, a gesture-based text input method on touchscreen smartphones for people with visual impairments. To input a letter with BrailleSketch, a user simply sketches a gesture that passes through all dots in the corresponding Braille code for that letter. BrailleSketch allows users to place their fingers anywhere on the screen to begin a gesture and draw the Braille code in many ways. To encourage users to type faster, BrailleSketch does not provide immediate letter-level audio feedback but instead provides word-level audio feedback. It uses an auto-correction algorithm to correct typing errors. Our evaluation of the method with ten participants with visual impairments who each completed five typing sessions shows that BrailleSketch supports a text entry speed of 14.53 word per min (wpm) with 10.6% error. Moreover, our data suggest that the speed had not begun to plateau yet by the last typing session and can continue to improve. Our evaluation also demonstrates the positive effect of the reduced audio feedback and the auto-correction algorithm.","Mingzhe Li, Mingming Fan, Khai Truong","blind, braille, gesture, mobile devices, people with visual impairments, sketch, text input",12,21
10.1145/3234695.3236359,ASSETS,2018,"""It Looks Beautiful but Scary""",How Low Vision People Navigate Stairs and Other Surface Level Changes,"Walking in environments with stairs and curbs is potentially dangerous for people with low vision. We sought to understand what challenges low vision people face and what strategies and tools they use when navigating such surface level changes. Using contextual inquiry, we interviewed and observed 14 low vision participants as they completed navigation tasks in two buildings and through two city blocks. The tasks involved walking in- and outdoors, across four staircases and two city blocks. We found that surface level changes were a source of uncertainty and even fear for all participants. Besides the white cane that many participants did not want to use, participants did not use technology in the study. Participants mostly used their vision, which was exhausting and sometimes deceptive. Our findings highlight the need for systems that support surface level changes and other depth-perception tasks; they should consider low vision people's distinct experiences from blind people, their sensitivity to different lighting conditions, and leverage visual enhancements.","Yuhang Zhao, Elizabeth Kupferstein, Doron Tal, Shiri Azenkot","curbs, depth perception, low vision, mobility, navigation, stairs, surface level changes",307,320
10.1145/2384916.2384924,ASSETS,2012,Design recommendations for tv user interfaces for older adults,findings from the eCAALYX project,"While guidelines for designing websites and iTV applications for older adults exist, no previous work has suggested how to best design TV user interfaces (UIs) that are accessible to older adults. Building upon pertinent guidelines from related areas, this paper presents thirteen recommendations for designing UIs for TV applications for older adults. These recommendations are the result of iterative design, testing, and development of a TV-based health system for older adults that aims to provide a holistic solution to improve quality of life for older adults with chronic conditions by fostering their autonomy and reducing hospitalization costs. The authors' work and experience shows that widely known UI design guidelines unsurprisingly apply to the design of TV-based applications for older adults, but acquire a crucial importance in this context.","Francisco Nunes, Maureen Kerwin, Paula Alexandra Silva","design recommendations, older adults, tv, user interface design",41,48
10.1145/2049536.2049545,ASSETS,2011,Situation-based indoor wayfinding system for the visually impaired, ,"This paper presents an indoor wayfinding system to help the visually impaired finding their way to a given destination in an unfamiliar environment. The main novelty is the use of the user's situation as the basis for designing color codes to explain the environmental information and for developing the wayfinding system to detect and recognize such color codes. Actually, people would require different information according to their situations. Therefore, situation-based color codes are designed, including location-specific codes and guide codes. These color codes are affixed in certain locations to provide information to the visually impaired, and their location and meaning are then recognized using the proposed wayfinding system. Consisting of three steps, the proposed wayfinding system first recognizes the current situation using a vocabulary tree that is built on the shape properties of images taken of various situations. Next, it detects and recognizes the necessary codes according to the current situation, based on color and edge information. Finally, it provides the user with environmental information and their path through an auditory interface. To assess the validity of the proposed wayfinding system, we have conducted field test with four visually impaired, then the results showed that they can find the optimal path in real-time with an accuracy of 95%.","Eunjeong Ko, Jin Ju, Eun Kim","2d color code, situation awareness, speeded-up robust feature (surf), visually impaired people, vocabulary tree., wayfinding system",35,42
